date,open,high,low,close,volume,k,d,j,boll_mid,boll_upper,boll_lower,vol_ma5,vol_ma10,vol_ratio,ma5,ma10,ma_cross,rsi,macd,macd_signal,macd_hist,greed,fear
2010-07-21,940.097,959.038,938.16,941.25,166574560,76.25988172069783,62.77944354685235,103.22075806838882,924.9810500000006,1015.8134293247025,834.1486706752986,123110998.4,128609592.8,1.2951954545026754,914.2342000000001,919.2441999999995,-1,51.90813948570793,-35.673763233541536,-49.337825470768216,13.66406223722668,53.26937754897092,57.531184215186656
2010-07-22,938.218,950.209,932.019,950.209,132660272,88.26802868143095,75.95055626843323,112.90297350742637,919.9614500000005,991.5222711368982,848.4006288631027,126125436.8,130894741.6,1.0134881690312303,925.7646000000001,923.7141999999997,1,53.64431368729795,-30.85969553793359,-45.64219948420129,14.782503946267703,51.9353221794034,59.47819663244902
2010-07-23,951.84,964.743,948.126,960.588,172125136,88.69669067453566,84.40820035888815,97.27367130583067,917.1767000000006,976.8798565801701,857.473543419831,140364217.6,133592652.0,1.2884326602034968,939.4226000000001,926.5582999999995,1,55.64220706692956,-25.90835822042959,-41.69543123144695,15.787073011017362,53.01633849221069,59.063930977247566
2010-07-26,962.76,966.732,954.759,966.154,147603568,95.08648566690927,90.68373500762529,103.89198698547725,916.0930500000004,971.2404154981579,860.945684501843,151108880.0,135716833.6,1.0875848196918145,951.0436000000002,930.1563999999995,1,56.71950030073541,-21.289841994801918,-37.61431338411795,16.32447138931603,52.82407857759027,59.787667482399605
2010-07-27,963.544,968.04,955.731,957.967,136182128,94.96493848458732,92.91603827534408,99.06273890307381,918.3259500000004,976.3813020580834,860.2705979419173,151029132.8,134648472.0,1.011390073553898,955.2336000000001,932.8450999999995,1,54.61829534596849,-18.081821111534623,-33.707814929601284,15.62599381806666,52.22690168942701,60.26868100872657
2010-07-28,955.188,972.534,954.521,972.534,156618272,96.41185191006348,95.48775868718668,98.26003835581704,920.9869500000004,983.673531554486,858.3003684455149,149037875.2,136074436.8,1.1509749787184127,961.4904,937.8622999999995,1,57.626195991443815,-14.200313911122635,-29.806314725905555,15.60600081478292,52.65736976691913,60.31965085200004
2010-07-29,974.295,982.015,965.606,975.362,179419312,94.47563658095078,95.28414232520053,92.85862509245126,925.6455500000005,989.9346302375226,861.3564697624785,158389683.2,142257560.0,1.2612286615909902,966.5210000000001,946.1427999999994,1,58.20535430921917,-10.771824635459438,-25.99941670781633,15.227592072356892,53.34721571447999,60.02834964194201
2010-07-30,971.663,971.663,955.918,968.431,145848672,91.61867229814395,94.16872026305275,86.51857636832634,930.4111000000006,992.5124384425461,868.3097615574551,153134390.4,146749304.0,0.9938627852027155,968.0896,953.7560999999994,1,56.17873139164159,-8.515830762669566,-22.502699518786976,13.98686875611741,52.70068778717336,60.57560418975065
2010-08-02,968.45,994.228,968.45,994.228,181036432,91.61867229814395,92.57099372574623,89.71402944293936,937.0091000000006,996.7440541722091,877.274145827792,159820963.2,155464921.6,1.16448411729685,973.7044,962.3739999999995,1,61.545524924860196,-4.593387349370801,-18.92083708490374,14.32744973553294,53.32213973495701,60.808533487358766
2010-08-03,995.195,996.263,975.645,975.645,175705872,83.05431329475043,88.76388596367946,71.63516795689236,941.1054500000006,999.6278141233486,882.5830858766526,167725712.0,159377422.4,1.102451459900132,977.24,966.2367999999994,1,56.20553615925209,-2.9503061868218765,-15.726730905287369,12.776424718465492,54.62934673173975,58.883595530262056
2010-08-04,971.407,978.014,955.93,978.014,144616544,76.66539453637796,83.7794600430908,62.43726352295229,944.5787000000006,1003.2052892376083,885.9521107623929,165325366.4,157181620.8,0.9200601397539475,978.3359999999999,969.9131999999994,1,56.72106661780554,-1.4403901057727353,-12.869462745384443,11.429072639611707,54.75452230746672,58.1121220780436
2010-08-05,980.27,998.101,978.333,987.351,177039968,68.44296834699446,76.05422539270762,53.22045425556814,948.6708000000004,1007.2429902769176,890.0986097230833,164849497.6,161619590.4,1.0954115621864613,980.7337999999997,973.6273999999994,1,58.78057708807597,0.5038391897018073,-10.194802358367193,10.698641548069,58.02863687380219,54.580428058748446
2010-08-06,987.967,1011.39,985.63,1011.39,189906128,79.1407248171188,74.74969590016373,87.92278265102894,952.6329500000004,1016.6644997218842,888.6014002781166,173660988.8,163397689.6,1.162232639059298,989.3255999999998,978.7075999999994,1,63.58519802872301,3.9389950287237525,-7.3680428809490035,11.307037909672756,56.70513641348947,56.685117535293735
2010-08-09,1013.245,1032.339,1013.245,1032.339,209199504,91.77757381061652,79.78708899157658,115.7585434486964,957.7412500000004,1029.611838245445,885.8706617545558,179293603.2,169557283.2,1.2337983957506582,996.9477999999997,985.3260999999993,1,67.17591693402265,8.256612907971999,-4.2431117231648035,12.499724631136802,59.845515955332786,54.951276232165185
2010-08-10,1031.978,1034.332,993.992,993.992,217707152,82.85170165191587,84.59000009321706,79.37510476931351,960.8868500000002,1033.31930945091,888.4543905490905,187693859.2,177709785.6,1.2250712658560543,1000.6171999999997,988.9285999999993,1,56.24323889899865,8.48624956085348,-1.6972394663611468,10.183489027214627,59.042993331008844,54.30488177084765
2010-08-11,991.278,1006.448,990.94,1004.637,161507824,70.22853061953215,81.6192686940215,47.44705447055347,965.0006000000001,1037.5592089816919,892.4419910183083,191072115.2,178198740.8,0.9063353830388009,1005.9417999999996,992.1388999999994,1,58.27337506969749,9.418628709853465,0.5259341688817756,8.89269454097169,57.47244444501916,54.93967200762626
2010-08-12,994.052,1007.576,987.978,991.777,168918928,52.13587992184588,68.40537073109796,19.596898303341703,969.9616000000002,1035.230932282144,904.6922677178563,189447907.2,177148702.4,0.9535431290858837,1006.8269999999997,993.7803999999994,1,54.95614028405092,9.015921448131508,2.223931624731722,6.791989823399786,57.72254886581044,53.00797598930269
